,GOOGL,BRK-B,ASML.AS,BESI.AS,ASM.AS,HUT,DAC,AMR,FLOW.AS,HAL.AS,NVDA,EXO.AS,PLTR,BTC,ETH,SOL,MC.PA,TNDM,AAPL,TSLA,MSFT,AMZN,META,JPM,JNJ,V,PG,UNH,HD,MA,BAC,XOM,CVX,LLY,MRK,AVGO,COST,CRM,ABBV,WMT,KO,PEP,ACN,SAP.DE,SIE.DE,RMS.PA,LIN.DE,AI.PA,DGE.L,NOVO-B.CO,ASML,ADYEN.AS,BMW.DE,SAN.MC,TEF.MC,OR.PA,BNP.PA,CS.PA,ABI.BR,PHIA.AS,UNA.AS,SU.PA,BABA,TCEHY,JD,BIDU,NTES,XPEV,LI,NIO,PDD,TAL
GOOGL,1.0,0.4634271896488464,0.3488857464139795,0.3382026715636628,0.36517659449462275,0.3266704289121181,0.24328811107042056,0.07700588876113693,-0.012455049900388869,0.2358218603704408,0.5793345410502252,0.08147450769582638,0.2887823059910187,0.11334050601935693,0.13400755616848964,0.17122955319760086,0.28723294630172563,0.3142616344750175,0.6305086946915143,0.40134292864429477,0.7296062077448325,0.6469654956059785,0.6300503915007721,0.37737396681849084,0.25849428430897736,0.5181546886321781,0.29033944099514575,0.3239839066195065,0.45363028819722867,0.5277157728125879,0.37941788816132016,0.22451296692354958,0.3075976853833471,0.25043865105910873,0.2121336112476823,0.5119023428350817,0.4585994907209132,0.5286166912206557,0.24881691040294415,0.27683136898362953,0.32550111268983234,0.33828933938894523,0.5619004772604963,0.31138385466148727,0.27643820336063757,0.2796008216296358,0.2565496969181592,0.26611050721161744,0.03338841381221621,0.0806140035367742,0.544820797660061,0.2943215394847294,0.2253019325194513,0.20034253135763733,0.15332134879145787,0.23938213418603255,0.19979531161490977,0.2029456522765033,0.1808601558393493,0.15873945670171052,0.02817818206433862,0.3110268070382469,0.2992947709175601,0.2948052464602649,0.30218800194808154,0.3533795180558294,0.29380803229528074,0.253896594896242,0.2019660835890042,0.30712502966010363,0.2687721816796126,0.1325615007128747
BRK-B,0.4634271896488464,1.0,0.2540169025881141,0.2637325187112499,0.2545023580689453,0.23132667717777464,0.3941950570758979,0.16812665254266965,-0.0478637520752382,0.3819939275517491,0.3370882446951861,0.11578085141961098,0.13540161198127254,0.0974731612984817,0.09277105362846869,0.11571503471123691,0.38375488879906255,0.1772320079356778,0.5055810505255148,0.26220383949907444,0.49614737442015866,0.330929295571416,0.3527895134895611,0.7681769411010171,0.5398840355893707,0.6665648785773649,0.4838080918676076,0.516272600751845,0.5646918002581526,0.6595255086859196,0.7470635166488757,0.5595841418560122,0.620009795573438,0.3014764499555936,0.40254773899041346,0.39468850488143026,0.40672186429771084,0.3747616958530576,0.43248994664373813,0.3603920916487324,0.6162671080042701,0.5449223986704476,0.5913647713303863,0.3213292341909582,0.41233286220457777,0.29817109082729565,0.45336855905825124,0.40169273759898094,0.14226949657498503,0.04716935217363713,0.4083434435589506,0.18557189474851063,0.37505048641054384,0.4559941218349071,0.3427218187373614,0.302669349577591,0.46919192929852777,0.48126685493936683,0.4287454692745095,0.22521795240671494,0.08569129509175144,0.38817727267546753,0.19270449186679847,0.18292272678965701,0.1891077110433433,0.23131995285073614,0.1937912059476321,0.09637190203045855,0.06255266216298436,0.19807385010667264,0.1002477356591566,0.07776383384706038
ASML.AS,0.3488857464139795,0.2540169025881141,1.0,0.7277828277733305,0.8182042934736145,0.2614185544211419,0.1855066815967481,0.11567615416179394,-0.015617326884590664,0.3522242915941716,0.459039977132358,0.2689684385267612,0.21410054975459494,0.04518187935527048,0.07999271355950356,0.178962620191541,0.5210177194233279,0.19244716873603485,0.3361090020291833,0.28051654579239155,0.38196105171672706,0.341027864658271,0.33400600752178106,0.2269835217047151,0.04752845710855501,0.30681476288019377,0.043956086776729256,0.12882394851833226,0.2730419821903869,0.3222975375438772,0.22027391357549736,0.15318710114178793,0.23292349634855886,0.113079578924328,0.051151879082081804,0.45342401238805935,0.2540444165216805,0.3239751561358754,0.06763082738667872,0.07587813325424217,0.1337460634178253,0.07836656633006873,0.3630570569311447,0.5337237162450105,0.548371212049891,0.542161289850371,0.4569435283802518,0.4408769241182913,0.08407720238974542,0.20988308138139844,0.782463626090135,0.4269986348486065,0.3775315407405635,0.314247808766749,0.09790951782979798,0.44333192872369026,0.3066666269216231,0.35579195009490994,0.29693815064155565,0.24931324381746806,-0.014875864194455581,0.6014015251107823,0.23931670506441577,0.2641403577983669,0.23175124381266057,0.2817195429213761,0.24329422201910353,0.16875583774844535,0.1721142860926475,0.2522114424406625,0.2273922609622616,0.12662044828668287
BESI.AS,0.3382026715636628,0.2637325187112499,0.7277828277733305,1.0,0.7300616402052365,0.2312936195394262,0.19441816555832606,0.09033612704978924,-0.0015625490755661142,0.305833134371327,0.4229186592914175,0.22895288280083437,0.20832984311626276,0.04386166521563166,0.08392043093144655,0.19300850595404714,0.4426331799919799,0.20246470872329556,0.3397532729659215,0.27508687803180437,0.4038488627866701,0.3365118566412187,0.3211323965172179,0.24513812995273052,0.06726568894759304,0.29993451333036597,0.09927049075880798,0.1441402661082261,0.28096048272991786,0.30782320013285747,0.25537201524321673,0.13447956622504675,0.20807009725717246,0.11166449134376605,0.05472442323678795,0.4176753764209675,0.25860734848804995,0.3242934788947222,0.09401152898973425,0.09666331693541615,0.14516209521059015,0.13588625730068737,0.3581492967739963,0.4670069886069992,0.4481570855598256,0.4430034161957515,0.3579788800561375,0.3869164449831697,0.03806795722503768,0.14130978527255095,0.603991073447137,0.37889860191717634,0.34919518781418096,0.2674201499497715,0.10078614281595899,0.36596096011786095,0.27639316742748665,0.3125227029845344,0.2434840291393772,0.24460482892498372,-0.058240000288560544,0.5353653312253189,0.2145275637773796,0.24909099923601566,0.20421206625526456,0.25988411305418424,0.2129801868564553,0.17040868372488932,0.1612602114842625,0.22951213511731694,0.21489215655851046,0.13405939075411913
ASM.AS,0.36517659449462275,0.2545023580689453,0.8182042934736145,0.7300616402052365,1.0,0.2670592728305615,0.1873378276043761,0.08961339533416728,-0.0408834517029296,0.3403060304551137,0.44011746414269365,0.1907636671923136,0.19299075105855637,0.03812794211616339,0.0822953546631354,0.20560204572833557,0.4497654787301296,0.22557007737442855,0.3456136854405602,0.32715832410996964,0.3962114751966435,0.33125113671609857,0.34828472210628253,0.22103802332911657,0.04313691045937791,0.31419356066148735,0.05059749874579692,0.16759054352744668,0.2970171859972608,0.31537496261352765,0.2131303569900134,0.14446122631839847,0.21766006562191184,0.10750311312829618,0.08357007774589237,0.46500972797060897,0.2700113708484654,0.31254659865807694,0.1002787113261399,0.11072869906476766,0.12784777669355057,0.10912610453497212,0.3607087380336754,0.47586262460037193,0.47472854922927343,0.4837015295224179,0.39778941930256095,0.3921859613738496,0.04314301323595893,0.21151744605349318,0.6652586769041483,0.3962707297745966,0.3219220217106546,0.27731125036366305,0.06699381173055081,0.34866678948489865,0.26975015455227563,0.31683270097472965,0.2525364891422896,0.22949175233175428,-0.03967201246332091,0.5720348600328545,0.20831146922879729,0.2375114285623934,0.21069254377121835,0.2571007885532501,0.2329506283752926,0.16885024422826922,0.15358259848144118,0.25226418751796664,0.21023243318375265,0.10474568235247879
HUT,0.3266704289121181,0.23132667717777464,0.2614185544211419,0.2312936195394262,0.2670592728305615,1.0,0.1874883273588275,0.13854134916237162,-0.00447680549950976,0.17873650936911498,0.34832856924276157,0.050951218647790286,0.32022374662343617,0.1970344265055371,0.18108739151234593,0.2716380175113299,0.21087701458405964,0.22210732821327306,0.27742022298063895,0.35501906675099076,0.31604756014611923,0.29835087279539296,0.2791040210865346,0.2543995004975038,0.06840199632031688,0.28008386474614244,0.05339712286022291,0.11654471888374872,0.2464536049544882,0.27706667416330816,0.2567420429223402,0.18242691093169094,0.2047442786915131,0.06351750370253341,0.08543769860988112,0.3190060795480069,0.20138327948351573,0.2980655524062049,0.05294711726955877,0.10695717920592494,0.10721246960640876,0.06626005129845378,0.28898837170362857,0.16841238630587216,0.20253332369837074,0.20105625310093928,0.13941064940003073,0.16450246435533092,0.03692042774437342,0.0771832936451638,0.35421095433777,0.19107818572291363,0.11442423937901416,0.1307787149840675,0.04783274461086105,0.12247341758469833,0.13610406138476502,0.13492929446850493,0.08597507381742275,0.06533804712708349,-0.03885960060044862,0.24932886797165515,0.2094919423275541,0.1778741263829138,0.19696599504713527,0.2697083787859678,0.16872052067656929,0.20435391620483845,0.1868164302727464,0.283972076797833,0.17558522013142042,0.12997853341225457
DAC,0.24328811107042056,0.3941950570758979,0.1855066815967481,0.19441816555832606,0.1873378276043761,0.1874883273588275,1.0,0.17330689272220182,-0.03638209311947099,0.21973252765170428,0.27799111563869133,0.04770232166125055,0.13257330865508277,-0.00027662345416417386,0.0027196389269801306,0.17640403029827714,0.23301389778652307,0.14895807032320932,0.26786884216000295,0.20761328506845278,0.2540698537914039,0.17447983762400626,0.20086628617688437,0.3944726613517334,0.2048459430590606,0.33143073823891644,0.1691001249097814,0.23970296501203667,0.359985676420571,0.3209365632162185,0.41576576527664416,0.3966296399432066,0.405896947057944,0.15747145185551284,0.17860070367469397,0.2891789480584596,0.19221398947464355,0.2182909793222723,0.19040412632806472,0.16171340990140484,0.2791093329245304,0.24966809535423945,0.32629418613784855,0.18412644646234114,0.2593132715110145,0.16443365056792522,0.1805831856667085,0.17837029488208858,0.03467786916345352,0.04161495441399291,0.313523627075792,0.12727245754399788,0.2530089819682011,0.27510319526153215,0.1839842386309459,0.18157369492400027,0.3043871735532066,0.2892755608071482,0.19144490395173058,0.16051917980904426,-0.10010630250874798,0.21469069498742613,0.1681680935105963,0.1942570971125776,0.18670233915787116,0.2616179849683974,0.17534806520677645,0.13341207128861968,0.12813888556312172,0.2508667223633355,0.13759846004504456,0.12199977566042132
AMR,0.07700588876113693,0.16812665254266965,0.11567615416179394,0.09033612704978924,0.08961339533416728,0.13854134916237162,0.17330689272220182,1.0,0.021201278001646777,0.10453984372319486,0.11427428869976912,0.07790897230677424,0.06746854955678146,0.06460780289962603,0.06527391353597967,0.1093855628591882,0.09365033328210247,0.10974462885284648,0.08694503752582218,0.10523128361990448,0.0603729171994863,0.0883502470350407,0.021797891458741663,0.15825551559105797,-0.0095897584779366,0.1367395119593754,-0.04190778211504019,0.09109557684493669,0.07185140100882605,0.1395442377957327,0.16487314105023576,0.28317278789086686,0.23237451185187255,0.033838458058229666,0.06461939705076176,0.10753546481894123,0.07594413781711314,0.1006395279411361,0.024944829263414223,0.015760399912591337,0.028741670542799296,-0.00686091160100653,0.13636983164881403,0.028756330083828188,0.11725674983746355,0.06051622620069589,0.06799422393680056,0.05261572004866139,-0.009817748182635191,0.020820125957055194,0.15021193606730454,0.05486570972645696,0.10008884110071788,0.15540653860845494,0.05004401975396589,0.0655822262407336,0.14170439747332134,0.11345542312858703,0.037677573066819715,0.02435983070427154,-0.06081350817498386,0.07978821406066865,0.11712036941452292,0.08510481503819634,0.10160342686859816,0.1359025082829536,0.09746546760001859,0.08795231942161515,0.08914071188118952,0.10499827860817193,0.07935726364010107,0.08912376831445129
FLOW.AS,-0.012455049900388869,-0.0478637520752382,-0.015617326884590664,-0.0015625490755661142,-0.0408834517029296,-0.00447680549950976,-0.03638209311947099,0.021201278001646777,1.0,-0.030331700187545087,-0.00123110367968281,0.04991436372754975,0.012677644528925275,-0.04991237485707994,-0.088819063608021,0.025114228921067797,-0.040314571470061504,0.045468175799695254,-0.018975574254345394,-0.007970158034892802,-0.02140049907868871,-0.007285745705994709,-0.06536384287322151,-0.10142124479741121,-0.0037529792386173364,-0.05417228543281348,-0.022559399955762133,-0.05302854278629124,-0.06096688735284714,-0.04320540525209386,-0.05267819045678179,-0.03539130115120019,-0.05969156941820376,-0.02906255635582503,-0.061761611920881365,-0.021428207751183113,-0.002092064669169338,0.016633966134802832,-0.07064593920879254,0.01657320973574521,-0.04849369710103047,-0.03322233787694948,0.0036526511914340924,-0.04873444965393394,-0.044792317934143476,-0.05419638033131873,-0.08260388421644815,-0.020463023908489045,-0.02581476715271084,-0.04820555524069428,-0.018180428339569926,0.05830757098651148,-0.03483915339676758,-0.06761835908835344,-0.01477285269192017,-0.013427858714804237,-0.056727456563688,-0.07040404746224999,-0.10375681142168736,0.018175471570044427,-0.04446785207575229,-0.030242532813009648,0.019308782501033232,0.02972966095406661,0.0324060535094297,-0.013865447272320246,0.02230109046498266,0.021015294407881902,0.021254251317020988,0.02161509819553192,0.00949536012451971,0.03517488409186919
HAL.AS,0.2358218603704408,0.3819939275517491,0.3522242915941716,0.305833134371327,0.3403060304551137,0.17873650936911498,0.21973252765170428,0.10453984372319486,-0.030331700187545087,1.0,0.17932654752757138,0.20060674245602633,0.045673621842077496,0.043974847085465556,0.05430625903041044,0.08944195169821872,0.3984436479936322,0.10238478493828843,0.2258373665659626,0.15755286496729373,0.2528511073074363,0.12552361075745427,0.19190566071813275,0.3505127287134197,0.19046956938631604,0.3710096447537947,0.14741550830779407,0.24333203442809717,0.26725100690527104,0.36096153784092905,0.3673099342774647,0.27223660719116993,0.36014997282475475,0.11954168769582549,0.21531787355177995,0.21162378568753196,0.09755901898809691,0.1903118177051495,0.25221510214379367,0.10041301014473854,0.26099436600534903,0.17584236487463778,0.29195757110231707,0.3540209619545465,0.4443428600186381,0.34592163677142473,0.408020697016135,0.38275284879139204,0.12697753798206587,0.13231824363339525,0.27922249872650234,0.25941519345855646,0.450808918933921,0.4025059117015679,0.2457463294378381,0.3442889295751241,0.44143980247220466,0.4816024240778486,0.4062353314412009,0.22582243772422822,0.06748754162263143,0.4424562347455254,0.17157519390002252,0.19747505321783068,0.17347976661824033,0.21307847120445436,0.20518374967365977,0.12607857752905463,0.10642723098780536,0.18213713038025675,0.13989800688109616,0.10650896466710591
